filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
252_RMF258_6ul_GB4_01_22456.mzML	Eremophila_behriana_RMF258	0	0	0	NA	1	c	ag	3	8.4
253_RMF250_6ul_GB5_01_22457.mzML	Eremophila_duttonii_RMF250	1	1	1	1	1	h4	h	1	9.6
254_RMF263_6ul_GB6_01_22458.mzML	Eremophila_densifolia_capitata_RMF263	1	0	0	0	1	h3	h3	1	12.6
260_MJB2483_6ul_GC4_01_22464.mzML	Eremophila_duttonii_MJB2483	1	1	0	1	1	h4	h	1	9
262_RMF281_6ul_GC6_01_22467.mzML	Myoporum_insulare_RMF281	1	0	1	1	0	a	ag	0	11.8
263_RMF290_6ul_GC7_01_22468.mzML	Eremophila_debilis_RMF290	0	0	1	0	0	b	ag	0	4.5
264_BB35_6ul_GC8_01_22469.mzML	Eremophila_gilesii_variabilis_BB35	1	0	1	NA	1	h12	h12	1	10.4
268_MJB2484_6ul_GD4_01_22473.mzML	Eremophila_maculata_maculata_MJB2484	0	1	1	NA	0	h8	h	0	13.1
273_RMF280_6ul_GE1_01_22478.mzML	Myoporum_petiolatum_RMF280	1	0	0	NA	0	a	ag	3	8.4
275_MJB2481_6ul_GE3_01_22480.mzML	Eremophila_gilesii_gilesii_MJB2481	1	0	1	NA	1	h12	h12	1	10.2
277_RMF289_6ul_GE5_01_22482.mzML	Eremophila_debilis_RMF289	0	0	1	0	0	b	ag	0	7.5
